17503	341	2	1520	8	2007-02-15 22:25:46.0015
17504	341	1	1778	2	2007-02-16 17:23:14.0016
17505	341	1	1849	8	2007-02-16 22:41:45.0016
17506	341	2	2829	3	2007-02-19 19:39:56.0019
17507	341	2	3130	8	2007-02-20 17:31:48.0020
17508	341	1	3382	6	2007-02-21 12:33:49.0021
17509	342	2	2190	6	2007-02-17 23:58:17.0017
17510	342	1	2914	6	2007-02-20 02:11:44.0020
17511	342	1	3081	3	2007-02-20 13:57:39.0020
17512	343	2	1547	5	2007-02-16 00:10:50.0016
17513	343	1	1564	7	2007-02-16 01:15:33.0016
17514	343	2	1879	1	2007-02-17 01:26:00.0017
17515	343	2	1922	1	2007-02-17 04:32:51.0017
17516	343	2	2461	7	2007-02-18 18:26:38.0018
17517	343	1	2980	9	2007-02-20 07:03:29.0020
17518	343	1	3407	1	2007-02-21 14:42:28.0021
17519	344	1	1341	4	2007-02-15 10:54:44.0015
17520	344	2	1475	5	2007-02-15 19:36:27.0015
17521	344	1	1731	1	2007-02-16 14:00:38.0016
17522	345	2	1210	1	2007-02-15 01:26:17.0015
17523	345	1	1457	5	2007-02-15 18:34:15.0015
17524	345	2	1550	1	2007-02-16 00:27:01.0016
17525	345	2	2766	5	2007-02-19 16:13:41.0019
17526	346	1	1994	6	2007-02-17 09:35:32.0017
17527	346	2	3372	3	2007-02-21 12:02:45.0021
17528	346	1	3421	3	2007-02-21 15:51:24.0021
17529	347	2	1711	9	2007-02-16 12:40:18.0016
17530	347	2	2274	1	2007-02-18 04:59:41.0018
17531	347	1	3026	5	2007-02-20 10:16:26.0020
17532	347	1	3092	9	2007-02-20 14:33:08.0020
17533	347	1	3326	8	2007-02-21 07:33:16.0021
17534	348	1	1654	3	2007-02-16 08:11:14.0016
17535	348	1	2041	9	2007-02-17 12:47:26.0017
17536	348	2	2499	1	2007-02-18 21:30:02.0018
17537	349	1	1197	3	2007-02-15 00:11:12.0015
17538	349	1	1523	1	2007-02-15 22:47:06.0015
17539	349	2	2987	7	2007-02-20 07:24:16.0020
17540	349	1	3067	9	2007-02-20 12:27:47.0020
17541	350	2	2011	4	2007-02-17 10:24:35.0017
17542	350	1	2619	1	2007-02-19 06:31:38.0019
17543	350	1	3079	3	2007-02-20 13:42:06.0020
17544	350	2	3206	1	2007-02-20 23:08:05.0020
17545	351	2	1792	6	2007-02-16 18:33:16.0016
17546	351	1	1869	1	2007-02-17 00:36:26.0017
17547	351	1	2759	3	2007-02-19 15:38:50.0019
17548	352	1	1498	1	2007-02-15 20:26:26.0015
17549	352	1	1649	5	2007-02-16 07:48:59.0016
