1001	1	Academy Dinosaur	A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies	Documentary	2006	English	6	0.99	86	20.99	PG	2013/05/26 14:50:58.951000000	{"Deleted Scenes","Behind the Scenes"}	'academi':1 'battl':15 'canadian':20 'dinosaur':2 'drama':5 'epic':4 'feminist':8 'mad':11 'must':14 'rocki':21 'scientist':12 'teacher':17	{"Penelope Guiness","Christian Gable","Lucille Tracy","Sandra Peck","Johnny Cage","Mena Temple","Warren Nolte","Oprah Kilmer","Rock Dukakis","Mary Keitel"}	2013/05/26 00:00:00.000	9999-12-31	1
1002	2	Ace Goldfinger	A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China	Horror	2006	English	3	4.99	48	12.99	G	2013/05/26 14:50:58.951000000	{Trailers,"Deleted Scenes"}	'ace':1 'administr':9 'ancient':19 'astound':4 'car':17 'china':20 'databas':8 'epistl':5 'explor':12 'find':15 'goldfing':2 'must':14	{"Bob Fawcett","Minnie Zellweger","Sean Guiness","Chris Depp"}	2013/05/26 00:00:00.000	9999-12-31	1
1003	3	Adaptation Holes	A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory	Documentary	2006	English	7	2.99	50	18.99	NC-17	2013/05/26 14:50:58.951000000	{Trailers,"Deleted Scenes"}	'adapt':1 'astound':4 'baloon':19 'car':11 'factori':20 'hole':2 'lumberjack':8,16 'must':13 'reflect':5 'sink':14	{"Nick Wahlberg","Bob Fawcett","Cameron Streep","Ray Johansson","Julianne Dench"}	2013/05/26 00:00:00.000	9999-12-31	1
1004	4	Affair Prejudice	A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank	Horror	2006	English	5	2.99	117	26.99	G	2013/05/26 14:50:58.951000000	{Commentaries,"Behind the Scenes"}	'affair':1 'chase':14 'documentari':5 'fanci':4 'frisbe':8 'lumberjack':11 'monkey':16 'must':13 'prejudic':2 'shark':19 'tank':20	{"Jodie Degeneres","Scarlett Damon","Kenneth Pesci","Fay Winslet","Oprah Kilmer"}	2013/05/26 00:00:00.000	9999-12-31	1
1005	5	African Egg	A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico	Family	2006	English	6	2.99	130	22.99	G	2013/05/26 14:50:58.951000000	{"Deleted Scenes"}	'african':1 'chef':11 'dentist':14 'documentari':7 'egg':2 'fast':5 'fast-pac':4 'forens':19 'gulf':23 'mexico':25 'must':16 'pace':6 'pastri':10 'psychologist':20 'pursu':17	{"Gary Phoenix","Dustin Tautou","Matthew Leigh","Matthew Carrey","Thora Temple"}	2013/05/26 00:00:00.000	9999-12-31	1
1006	6	Agent Truman	A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China	Foreign	2006	English	3	2.99	169	17.99	PG	2013/05/26 14:50:58.951000000	{"Deleted Scenes"}	'agent':1 'ancient':19 'boy':11 'china':20 'escap':14 'intrepid':4 'must':13 'panorama':5 'robot':8 'sumo':16 'truman':2 'wrestler':17	{"Kirsten Paltrow","Sandra Kilmer","Jayne Neeson","Warren Nolte","Morgan Williams","Kenneth Hoffman","Reese West"}	2013/05/26 00:00:00.000	9999-12-31	1
1007	7	Airplane Sierra	A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat	Comedy	2006	English	6	4.99	62	28.99	PG-13	2013/05/26 14:50:58.951000000	{Trailers,"Deleted Scenes"}	'airplan':1 'boat':20 'butler':11,16 'discov':14 'hunter':8 'jet':19 'must':13 'saga':5 'sierra':2 'touch':4	{"Jim Mostel","Richard Penn","Oprah Kilmer","Mena Hopper","Michael Bolger"}	2013/05/26 00:00:00.000	9999-12-31	1
1008	8	Airport Pollock	A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India	Horror	2006	English	6	4.99	54	15.99	R	2013/05/26 14:50:58.951000000	{Trailers}	'airport':1 'ancient':18 'confront':14 'epic':4 'girl':11 'india':19 'monkey':16 'moos':8 'must':13 'pollock':2 'tale':5	{"Fay Kilmer","Gene Willis","Susan Davis","Lucille Dee"}	2013/05/26 00:00:00.000	9999-12-31	1
1009	9	Alabama Devil	A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat	Horror	2006	English	3	2.99	114	21.99	PG-13	2013/05/26 14:50:58.951000000	{Trailers,"Deleted Scenes"}	'administr':9 'alabama':1 'boat':23 'databas':8 'devil':2 'jet':22 'mad':12,18 'must':15 'outgun':16 'panorama':5 'scientist':13,19 'thought':4	{"Christian Gable","Elvis Marx","Rip Crawford","Mena Temple","Rip Winslet","Warren Nolte","Greta Keitel","William Hackman","Meryl Allen"}	2013/05/26 00:00:00.000	9999-12-31	1
1010	10	Aladdin Calendar	A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China	Sports	2006	English	6	4.99	63	24.99	NC-17	2013/05/26 14:50:58.951000000	{Trailers,"Deleted Scenes"}	'action':5 'action-pack':4 'aladdin':1 'ancient':20 'calendar':2 'china':21 'feminist':18 'lumberjack':13 'man':10 'must':15 'pack':6 'reach':16 'tale':7	{"Alec Wayne","Judy Dean","Val Bolger","Ray Johansson","Renee Tracy","Jada Ryder","Greta Malden","Rock Dukakis"}	2013/05/26 00:00:00.000	9999-12-31	1
