tweet_id,sentiment,sentiment_confidence,negativereason_confidence,name,retweet_count,tweet_coord,tweet_created,user_timezone
570306000000000000    ,neutral,1,,cairdin,0,,2015-02-24 11:35:52 -0800,Eastern Time (US & Canada)
570301000000000000    ,positive,0.3486,0,jnardino,0,,2015-02-24 11:15:59 -0800,Pacific Time (US & Canada)
570301000000000000    ,neutral,0.6837,,yvonnalynn,0,,2015-02-24 11:15:48 -0800,Central Time (US & Canada)
570301000000000000    ,negative,1,0.7033,jnardino,0,,2015-02-24 11:15:36 -0800,Pacific Time (US & Canada)
570301000000000000    ,negative,1,1,jnardino,0,,2015-02-24 11:14:45 -0800,Pacific Time (US & Canada)
570301000000000000    ,negative,1,0.6842,jnardino,0,,2015-02-24 11:14:33 -0800,Pacific Time (US & Canada)
570301000000000000    ,positive,0.6745,0,cjmcginnis,0,,2015-02-24 11:13:57 -0800,Pacific Time (US & Canada)
570300000000000000    ,neutral,0.634,,pilot,0,,2015-02-24 11:12:29 -0800,Pacific Time (US & Canada)
570300000000000000    ,positive,0.6559,,dhepburn,0,,2015-02-24 11:11:19 -0800,Pacific Time (US & Canada)
570295000000000000    ,positive,1,,YupitsTate,0,,2015-02-24 10:53:27 -0800,Eastern Time (US & Canada)
570294000000000000    ,neutral,0.6769,0,idk_but_youtube,0,,2015-02-24 10:48:24 -0800,Eastern Time (US & Canada)
570290000000000000    ,positive,1,,HyperCamiLax,0,,2015-02-24 10:30:40 -0800,America/New_York
570290000000000000    ,positive,1,,HyperCamiLax,0,,2015-02-24 10:30:06 -0800,America/New_York
570287000000000000    ,positive,0.6451,,mollanderson,0,,2015-02-24 10:21:28 -0800,Eastern Time (US & Canada)
570286000000000000    ,positive,1,,sjespers,0,,2015-02-24 10:15:29 -0800,Pacific Time (US & Canada)
570282000000000000    ,negative,0.6842,0.3684,smartwatermelon,0,,2015-02-24 10:01:50 -0800,Pacific Time (US & Canada)
570278000000000000    ,positive,1,,ItzBrianHunty,0,,2015-02-24 09:42:59 -0800,Pacific Time (US & Canada)
570277000000000000    ,negative,1,1,heatherovieda,0,,2015-02-24 09:39:46 -0800,Eastern Time (US & Canada)
570271000000000000    ,positive,1,,thebrandiray,0,,2015-02-24 09:15:00 -0800,Atlantic Time (Canada)
570268000000000000    ,positive,1,,JNLpierce,0,,2015-02-24 09:04:10 -0800,Quito
570266000000000000    ,negative,0.6705,0.3614,MISSGJ,0,,2015-02-24 08:55:56 -0800,
570264000000000000    ,positive,1,,DT_Les,0,"[40.74804263, -73.99295302]",2015-02-24 08:49:01 -0800,
570259000000000000    ,positive,1,,ElvinaBeck,0,,2015-02-24 08:30:15 -0800,Pacific Time (US & Canada)
570259000000000000    ,neutral,1,,rjlynch21086,0,,2015-02-24 08:27:52 -0800,Eastern Time (US & Canada)
570257000000000000    ,negative,1,0.3557,ayeevickiee,0,,2015-02-24 08:18:51 -0800,Mountain Time (US & Canada)
570249000000000000    ,negative,1,1,Leora13,0,,2015-02-24 07:49:15 -0800,
570240000000000000    ,negative,1,0.6614,meredithjlynn,0,,2015-02-24 07:11:37 -0800,
570218000000000000    ,neutral,0.6854,,AdamSinger,0,,2015-02-24 05:44:59 -0800,Central Time (US & Canada)
570208000000000000    ,negative,1,1,blackjackpro911,0,"[42.361016, -71.02000488]",2015-02-24 05:05:28 -0800,
570125000000000000    ,neutral,0.615,0,TenantsUpstairs,0,"[33.94540417, -118.4062472]",2015-02-23 23:34:30 -0800,Atlantic Time (Canada)
570114000000000000    ,negative,1,1,jordanpichler,0,,2015-02-23 22:52:29 -0800,Vienna
570095000000000000    ,neutral,1,,JCervantezzz,0,,2015-02-23 21:35:43 -0800,Pacific Time (US & Canada)
570088000000000000    ,negative,1,1,Cuschoolie1,0,"[33.94209449, -118.40410103]",2015-02-23 21:10:41 -0800,Quito
570085000000000000    ,negative,1,1,amanduhmccarty,0,,2015-02-23 20:55:30 -0800,Pacific Time (US & Canada)
570077000000000000    ,positive,1,,NorthTxHomeTeam,0,"[33.2145038, -96.9321504]",2015-02-23 20:24:33 -0800,Central Time (US & Canada)
570052000000000000    ,neutral,0.6207,,miaerolinea,0,,2015-02-23 18:46:00 -0800,Caracas
570051000000000000    ,positive,1,,Nicsplace,0,,2015-02-23 18:43:35 -0800,
570045000000000000    ,positive,1,,Nicsplace,0,,2015-02-23 18:19:47 -0800,
570039000000000000    ,neutral,0.6791,0,elisha_malulani,0,,2015-02-23 17:54:09 -0800,Pacific Time (US & Canada)
570036000000000000    ,negative,1,1,DannyDouglass,0,,2015-02-23 17:41:58 -0800,Pacific Time (US & Canada)
570034000000000000    ,positive,0.6639,,jamesferrandini,0,,2015-02-23 17:32:54 -0800,
570025000000000000    ,negative,0.6688,0.6688,will_lenzenjr,0,,2015-02-23 17:00:40 -0800,Central Time (US & Canada)
570016000000000000    ,neutral,1,,GottAmanda,0,"[34.0219817, -118.38591198]",2015-02-23 16:24:11 -0800,
